customer_state,total_orders,avg_delivery_days,avg_delay_days,on_time_pct
RR,41,29.0,-17.3,87.8
AP,67,26.7,-19.7,97.0
AM,145,26.0,-19.6,97.2
AL,397,24.0,-8.7,78.6
PA,946,23.3,-14.1,88.8
MA,717,21.1,-9.6,82.6
SE,335,21.0,-10.0,84.8
CE,1279,20.8,-10.8,86.2
AC,80,20.6,-20.7,96.3
PB,517,20.0,-13.3,89.6
PI,476,19.0,-11.3,86.1
RO,243,18.9,-20.1,97.1
BA,3256,18.9,-10.8,87.8
RN,474,18.8,-13.6,90.7
PE,1593,18.0,-13.3,90.4
MT,886,17.6,-14.4,94.0
TO,274,17.2,-12.1,90.1
ES,1995,15.3,-10.5,89.3
MS,701,15.2,-11.1,90.3
GO,1957,15.2,-12.2,93.5
RS,5344,14.8,-13.9,93.9
RJ,12350,14.8,-11.8,87.9
SC,3546,14.5,-11.5,91.8
DF,2080,12.5,-12.0,94.3
PR,4923,11.5,-13.3,96.0
MG,11354,11.5,-13.2,95.4
SP,40494,8.3,-11.1,95.5
